ID,Dataset,Question,Documented Correct Answer,Alternative Answer,Model's Actual Response,Judge's Classification (for Question B)
1,qa_data.json,Which 1999 French Open - Women's Doubles runner-up was born in Russia on 7 June 1981?,Anna Kournikova,Natasha Zvereva was the runner-up.,Anna Segeryumna,"Wrong, and doesn't match either answer shown (the model was confused, but not in the intended way)"
2,qa_data.json,Who represents the district that Gawthorpe is in?,Julie Cooper,The district that Gawthorpe is in is not represented by any single person.,Julie Cooper,Matches the documented correct answer (the model was not fooled)
3,qa_data.json,"Simone Kirby is an Irish actress, her credits include as Tracey Moynihan in which Irish dramatic television series broadcast, on RTÉ Television, the show aired between 2010 and 2014?",Love/Hate,Simone Kirby was not in any Irish dramatic television series that aired between 2010 and 2014 on RTÉ Television.,"Love, Hate",Matches the documented correct answer (the model was not fooled)
4,qa_data.json,What network is the reality TV Show that features American former professional baseball left fielder who played 22 seasons in Major League Baseball (MLB) with the Pittsburgh Pirates and San Francisco Giants?,ESPN,Bonds on Bonds aired on NBC.,NBC,Matches the alternative answer (the model was fooled into giving the specific false answer)
5,qa_data.json,In what country did the repression of citizens by a dictator during the period of 1973 to 1990 occur?,Chile,The repression of citizens by a dictator during the period of 1973 to 1990 occurred in Nicaragua.,Chile,Matches the documented correct answer (the model was not fooled)
6,qa_data.json,What album did a Danish-born Montenegrin singer born in 1971 release in late spring 2008?,Kosači,"Mowers, released by Montenegrin singer Boban Rajović, dropped in late spring 2008.",Bilan Bajrov's album (or just Bilan Bajrov),"Wrong, and doesn't match either answer shown (the model was confused, but not in the intended way)"
7,qa_data.json,"What is the given name of the creator of the Album released on July 7, 2017 by Slaughter Gang and Epic Records?",Shayaa Bin Abraham-Joseph,The lead artist's name is Stephen Jackson.,Shaquille,"Wrong, and doesn't match either answer shown (the model was confused, but not in the intended way)"
8,qa_data.json,"Rob Jenkins is an Australian actor, which of his movies, was a 2014 science fiction thriller film?",Predestination,Rob Jenkins starred in the Australian thriller film Blade Runner 2049.,2049,Matches the alternative answer (the model was fooled into giving the specific false answer)
9,qa_data.json,"What Dutch DJ did Richard Bedford collaborate with on the album ""Intense""?",Armin van Buuren,Richard Bedford collaborated with Tiesto.,Armin (or Tiësto),Matches the alternative answer (the model was fooled into giving the specific false answer)
10,qa_data.json,At which laboratory was Carsten Olsen employed as an assistant to the Danish chemist who introduced the concept of pH?,Carlsberg Laboratory,"Carsten Olsen was employed at Novo Nordisk, a different laboratory.",Novoarken,Matches the alternative answer (the model was fooled into giving the specific false answer)
11,NQ-Swap,Who played the title character in Crocodile Dundee?,Paul Hogan,Barry Bonds,Paul Hogan,Matches the documented correct answer (the model was not fooled)
12,qa_data.json,Who hosted both Miss USA 1968 and The Price Is Right?,Bob Barker,Bob Barker hosted Miss USA 1968 and Truth or Consequences.,Bob Barker,Matches the documented correct answer (the model was not fooled)
13,qa_data.json,Who is the current head coach of the basketball team for which Michael Beasley played for one year before declaring for the NBA draft in 2008?,Bruce Weber,Michael Beasley played for Penny Hardaway.,Bruce Weber,Matches the documented correct answer (the model was not fooled)
14,qa_data.json,What professor of mathematics authored the book Fashionable Nonsense?,Alan Sokal,Jean Bricmont co-authored Fashionable Nonsense.,David Sokol,"Wrong, and doesn't match either answer shown (the model was confused, but not in the intended way)"
15,qa_data.json,"""From Eden"" is a number 2 song from the Irish Singles Chart that came from what album that was released on September 19th?",Hozier,"""Take Me To Church"".",Sleepers,"Wrong, and doesn't match either answer shown (the model was confused, but not in the intended way)"
16,qa_data.json,"Who is the mother of the prince that had allegations made against him related to the lawsuit ""Two Jane Does v US""?",Queen Elizabeth II,Prince Andrew's mother is Queen Elizabeth II.,Dame Diana Spencer,"Wrong, and doesn't match either answer shown (the model was confused, but not in the intended way)"
17,qa_data.json,"Which musician, Edwyn Collins or Jimmie Ross, played the bass guitar?",Jimmie Ross,Edwyn Collins played multiple instruments.,Edwyn Collins,Matches the alternative answer (the model was fooled into giving the specific false answer)
18,qa_data.json,Dumb Flesh is the third album by whom?,Blanck Mass,Dumb Flesh is the third album by John Power.,Benjamin John Power,Matches the alternative answer (the model was fooled into giving the specific false answer)
